league;season;matchweek;homeTeam;awayTeam;homeGoals;awayGoals;date;hour;referee;homeLineup;awayLineup;homePossession;awayPossession;homePassingAccuracy;awayPassingAccuracy;homeShotsonTarget;awayShotsonTarget;homeSaves;awaySaves;homeFouls;awayFouls;homeCorners;awayCorners;homeCrosses;awayCrosses;homeTouches;awayTouches;homeTackles;awayTackles;homeInterceptions;awayInterceptions;homeAerialsWon;awayAerialsWon;homeClearances;awayClearances;homeOffsides;awayOffsides;homeGoalKicks;awayGoalKicks;homeThrowIns;awayThrowIns;homeLongBalls;awayLongBalls
SerieA;23_24;5;Lazio;Monza;1;1;2023-09-23;20:45;Rosario Abisso (Referee);Lazio (4-3-3);Monza (3-4-3);49%;51%;83%;84%;0%;25%;75%;%;13;7;1;3;14;8;643;683;13;17;11;10;11;9;3;21;3;2;8;9;24;17;58;73
SerieA;23_24;5;Empoli;Internazionale;0;1;2023-09-24;12:30;Matteo Marcenaro (Referee);Empoli (4-3-2-1);Inter (3-5-2);39%;61%;79%;83%;14%;22%;80%;100%;15;11;3;6;15;31;507;707;14;14;4;11;4;14;27;5;0;1;13;4;17;33;54;79
SerieA;23_24;5;Atalanta;Cagliari;2;0;2023-09-24;15:00;Ermanno Feliciani (Referee);Atalanta (3-4-3);Cagliari (3-5-2);56%;44%;79%;74%;60%;0%;%;66%;6;11;7;7;14;18;679;552;15;13;3;8;22;15;20;17;5;1;10;6;22;26;83;88
SerieA;23_24;5;Udinese;Fiorentina;0;2;2023-09-24;15:00;Daniele Chiffi (Referee);Udinese (3-5-2);Fiorentina (4-2-3-1);49%;51%;73%;72%;40%;33%;0%;100%;13;11;10;3;21;12;561;565;22;18;12;3;29;10;18;19;1;1;4;8;24;26;59;81
SerieA;23_24;5;Bologna;Napoli;0;0;2023-09-24;18:00;Giovanni Ayroldi (Referee);Bologna (4-2-3-1);Napoli (4-3-3);49%;51%;87%;84%;50%;36%;100%;100%;16;12;5;5;13;19;604;600;20;21;5;7;9;3;21;11;2;2;11;3;22;21;49;44
SerieA;23_24;5;Torino;Roma;1;1;2023-09-24;20:45;Marco Guida (Referee);Torino (3-4-3);Roma (3-4-3);41%;59%;75%;80%;33%;27%;66%;75%;5;5;7;1;27;11;537;706;15;15;10;10;17;18;21;21;0;0;7;13;15;32;57;75
SerieA;23_24;6;Juventus;Lecce;1;0;2023-09-26;20:45;Antonio Giua (Referee);Juventus (3-1-4-2);Lecce (4-3-3);50%;50%;82%;82%;33%;0%;%;80%;14;15;5;1;18;12;592;589;16;11;10;7;13;9;13;23;0;1;6;8;19;23;66;88
SerieA;23_24;6;Hellas Verona;Atalanta;0;1;2023-09-27;18:30;Federico Dionisi (Referee);Hellas Verona (3-4-3);Atalanta (3-4-3);51%;49%;67%;67%;18%;25%;50%;100%;10;25;4;1;20;10;570;556;14;15;7;10;17;27;9;22;1;3;7;9;26;25;105;71
SerieA;23_24;6;Empoli;Salernitana;1;0;2023-09-27;18:30;Antonio Rapuano (Referee);Empoli (4-3-2-1);Salernitana (3-4-3);42%;58%;68%;75%;46%;14%;100%;83%;18;13;10;2;21;10;499;629;15;25;15;11;17;14;12;19;5;1;7;7;35;25;65;64
SerieA;23_24;6;Cagliari;Milan;1;3;2023-09-27;18:30;Federico La Penna (Referee);Cagliari (5-4-1);Milan (4-3-3);34%;66%;79%;91%;38%;35%;50%;83%;13;6;3;5;20;19;435;778;12;12;6;3;5;10;14;17;0;1;11;4;16;11;52;49
SerieA;23_24;6;Napoli;Udinese;4;1;2023-09-27;20:45;Gianluca Manganiello (Referee);Napoli (4-3-3);Udinese (3-5-2);66%;34%;88%;83%;41%;23%;66%;66%;11;10;8;4;16;18;714;442;21;11;10;3;6;8;14;25;0;0;7;10;22;12;58;36
SerieA;23_24;6;Lazio;Torino;2;0;2023-09-27;20:45;Michael Fabbri (Referee);Lazio (4-3-3);Torino (3-4-3);51%;49%;84%;85%;50%;29%;100%;33%;12;13;4;2;11;11;641;637;17;11;16;11;12;6;7;13;0;1;9;7;17;11;70;70
SerieA;23_24;6;Internazionale;Sassuolo;1;2;2023-09-27;20:45;Luca Massimi (Referee);Inter (3-5-2);Sassuolo (4-2-3-1);63%;37%;83%;77%;23%;46%;66%;66%;10;8;8;6;32;12;725;486;15;8;13;11;19;12;7;33;3;4;6;8;29;10;86;59
SerieA;23_24;6;Monza;Bologna;0;0;2023-09-28;18:30;Ivan Pezzuto (Referee);Monza (3-4-3);Bologna (4-2-3-1);47%;53%;82%;84%;30%;63%;100%;100%;9;15;7;5;24;17;600;652;12;14;7;9;9;19;15;26;2;2;4;6;9;14;52;56
SerieA;23_24;6;Frosinone;Fiorentina;1;1;2023-09-28;18:30;Francesco Fourneau (Referee);Frosinone (4-3-3);Fiorentina (4-2-3-1);52%;48%;77%;77%;27%;32%;83%;66%;6;11;8;10;15;20;599;574;15;21;3;7;11;12;29;15;2;5;10;5;24;22;53;80
SerieA;23_24;6;Genoa;Roma;4;1;2023-09-28;20:45;Daniele Orsato (Referee);Genoa (3-5-2);Roma (3-4-3);29%;71%;75%;87%;50%;23%;66%;0%;7;12;1;7;11;23;416;819;16;16;7;6;12;10;33;9;0;2;8;5;15;28;60;48
SerieA;23_24;7;Lecce;Napoli;0;4;2023-09-30;15:00;Luca Pairetto (Referee);Lecce (4-3-3);Napoli (4-3-3);44%;56%;80%;83%;44%;36%;40%;100%;11;11;3;7;19;18;562;663;23;19;11;8;8;14;18;14;3;1;7;5;21;22;50;56
SerieA;23_24;7;Milan;Lazio;2;0;2023-09-30;18:00;Davide Massa (Referee);Milan (4-3-3);Lazio (4-3-3);51%;49%;85%;83%;50%;31%;100%;71%;15;5;7;1;18;6;642;631;19;20;9;9;5;7;9;17;2;2;7;4;22;17;58;33
SerieA;23_24;7;Salernitana;Internazionale;0;4;2023-09-30;20:45;Rosario Abisso (Referee);Salernitana (3-4-3);Inter (3-5-2);36%;64%;73%;85%;25%;33%;40%;100%;12;10;3;3;9;21;448;735;11;12;8;8;11;31;19;11;2;1;6;8;16;19;52;48
SerieA;23_24;7;Bologna;Empoli;3;0;2023-10-01;12:30;Fabio Maresca (Referee);Bologna (4-2-3-1);Empoli (4-3-1-2);58%;42%;85%;76%;43%;33%;100%;66%;11;16;2;6;11;25;670;518;10;21;5;5;4;4;19;11;2;1;9;9;27;11;47;54
SerieA;23_24;7;Udinese;Genoa;2;2;2023-10-01;15:00;Maurizio Mariani (Referee);Udinese (3-5-2);Genoa (3-5-2);59%;41%;79%;73%;18%;50%;50%;50%;12;12;5;0;23;6;559;435;15;18;4;13;13;14;9;19;1;2;5;13;23;25;49;59
SerieA;23_24;7;Atalanta;Juventus;0;0;2023-10-01;18:00;Daniele Chiffi (Referee);Atalanta (3-4-3);Juventus (3-1-4-2);52%;48%;85%;85%;13%;60%;100%;100%;13;7;5;2;19;6;684;638;17;9;7;6;5;15;11;20;0;1;2;12;24;10;41;64
SerieA;23_24;7;Roma;Frosinone;2;0;2023-10-01;20:45;Matteo Marchetti (Referee);Roma (3-4-3);Frosinone (5-4-1);50%;50%;78%;82%;45%;0%;%;60%;12;11;7;3;13;5;585;595;32;19;12;5;8;10;6;15;2;2;10;12;19;12;80;31
SerieA;23_24;7;Sassuolo;Monza;0;1;2023-10-02;18:30;Luca Zufferli (Referee);Sassuolo (4-2-3-1);Monza (3-4-3);44%;56%;83%;87%;37%;31%;75%;100%;8;10;7;4;16;14;509;634;12;12;3;7;8;10;11;12;1;4;7;11;18;15;46;70
SerieA;23_24;7;Torino;Hellas Verona;0;0;2023-10-02;18:30;Ermanno Feliciani (Referee);Torino (3-4-3);Hellas Verona (3-4-3);55%;45%;74%;71%;25%;40%;100%;100%;6;11;10;1;15;8;573;508;9;19;7;15;19;11;14;27;1;1;7;13;29;19;67;79
SerieA;23_24;7;Fiorentina;Cagliari;3;0;2023-10-02;20:45;Marco Di Bello (Referee);Fiorentina (4-2-3-1);Cagliari (4-4-2);60%;40%;87%;78%;14%;50%;100%;0%;10;10;4;2;13;14;739;519;18;17;7;6;12;13;17;8;1;2;4;10;19;12;83;56
SerieA;23_24;8;Empoli;Udinese;0;0;2023-10-06;18:30;Michael Fabbri (Referee);Empoli (4-3-2-1);Udinese (3-5-2);60%;40%;77%;67%;17%;9%;100%;100%;11;15;5;7;20;20;609;455;15;15;5;6;16;17;21;19;3;0;10;11;35;18;83;79
SerieA;23_24;8;Lecce;Sassuolo;1;1;2023-10-06;20:45;Juan Sacchi (Referee);Lecce (4-3-3);Sassuolo (4-2-3-1);43%;57%;73%;82%;31%;0%;%;75%;9;15;5;3;23;16;487;619;26;10;12;8;18;12;19;13;2;0;10;9;25;29;79;65
